human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
SOX4,7.021,70.872,Sox4,10.140,90.840,-0.753
SALL1,7.621,84.050,Sall1,9.665,90.220,-0.492
MYCN,4.939,19.128,Mycn,8.435,21.500,-0.956
NCAM1,2.114,48.097,Ncam1,8.420,29.520,-1.943
CDH4,1.420,1.547,Cdh4,8.111,10.360,-2.167
TBL1XR1,5.475,28.780,Tbl1xr1,7.999,9.587,-0.687
TOX3,3.850,0.728,Tox3,7.886,8.355,-1.178
NPVF,6.406,0.000,Npvf,7.739,0.026,-0.354
NFE2L3,6.438,4.074,Nfe2l3,7.709,0.469,-0.338
GAS1,6.911,108.332,Gas1,7.224,234.800,-0.083
FGF9,2.051,0.089,Fgf9,7.161,2.882,-1.683
SIX2,7.937,157.119,Six2,7.141,333.300,0.205
PBX1,4.039,28.958,Pbx1,7.126,33.800,-0.924
ENC1,1.641,50.875,Enc1,7.072,57.050,-1.840
FOXD2,2.461,3.375,Foxd2,6.979,36.840,-1.470
FOXP1,2.966,6.961,Foxp1,6.930,22.380,-1.260
ZFP36L1,5.917,143.870,Zfp36l1,6.803,104.200,-0.248
HES1,2.730,100.867,Hes1,6.700,19.960,-1.293
SERP2,1.467,4.813,Serp2,6.602,2.657,-1.807
MAP3K7,1.294,10.815,Map3k7,6.430,17.560,-1.848
CDH11,5.901,70.419,Cdh11,6.401,135.300,-0.142
HOXB1,2.856,0.119,Hoxb1,6.332,0.089,-1.147
PANK3,2.509,16.887,Pank3,6.264,13.130,-1.268
SLIT3,2.525,20.731,Slit3,6.254,6.123,-1.259
MEIS2,3.850,72.815,Meis2,6.249,62.740,-0.755
KIF26B,3.960,31.796,Kif26b,6.068,52.030,-0.665
CADM1,5.018,54.243,Cadm1,6.053,27.730,-0.311
SLCO3A1,0.663,1.281,Slco3a1,6.023,9.678,-2.073
UNCX,0.521,134.464,Uncx,6.004,170.800,-2.147
AUTS2,9.956,38.983,Auts2,5.989,8.436,0.993
EYA1,2.540,77.812,Eya1,5.970,64.920,-1.176
SRBD1,6.722,4.784,Srbd1,5.921,9.078,0.225
NRP1,5.633,36.387,Nrp1,5.862,27.440,-0.067
SPRED2,2.903,15.236,Spred2,5.759,20.500,-0.970
SMYD3,1.751,8.491,Smyd3,5.734,3.989,-1.456
CDH26,2.020,0.544,Cdh26,5.680,0.073,-1.319
NUAK1,2.698,4.099,Nuak1,5.558,14.860,-0.995
GFRA1,4.087,56.309,Gfra1,5.528,45.810,-0.465
SOBP,4.639,17.487,Sobp,5.465,13.020,-0.260
TSHZ2,1.373,2.481,Tshz2,5.401,25.420,-1.548
ST8SIA2,0.552,9.720,St8sia2,5.357,5.651,-1.977
NAV2,2.099,25.694,Nav2,5.323,15.390,-1.183
PAX2,2.367,160.079,Pax2,5.308,114.700,-1.062
SULF2,1.278,9.424,Sulf2,5.249,105.300,-1.554
CITED2,3.077,52.405,Cited2,5.225,62.290,-0.745
CDH5,3.866,1.377,Cdh5,5.185,0.523,-0.439
FGFR2,4.292,41.355,Fgfr2,5.107,19.360,-0.266
HUNK,1.104,11.987,Hunk,5.102,14.970,-1.605
SNCAIP,1.925,7.974,Sncaip,5.092,41.590,-1.196
FAM49A,3.740,1.718,Fam49a,5.078,2.081,-0.451
ROBO2,1.183,34.824,Robo2,5.063,64.210,-1.552
LMX1A,2.777,0.000,Lmx1a,5.038,0.006,-0.809
GSDMC,1.799,0.436,Gsdmc,5.033,0.000,-1.238
PTPRM,3.392,31.478,Ptprm,5.033,14.270,-0.565
SHISA2,4.907,39.252,Shisa2,5.024,50.540,-0.037
MCTP2,2.241,2.643,Mctp2,4.999,1.088,-1.025
ATRNL1,1.420,6.237,Atrnl1,4.955,10.460,-1.400
SNX11,0.852,6.078,Snx11,4.950,5.133,-1.701
TOMM20,4.450,73.158,Tomm20,4.931,134.600,-0.157
MSC,2.367,0.312,Msc,4.896,1.290,-0.939
DPF3,0.884,3.500,Dpf3,4.872,8.170,-1.662
HAS2,4.860,20.205,Has2,4.862,33.010,-0.001
SLIT2,1.546,6.101,Slit2,4.852,11.360,-1.307
ZBTB20,1.231,0.779,Zbtb20,4.842,3.068,-1.466
FANCC,1.389,6.705,Fancc,4.828,3.105,-1.379
WT1,4.102,101.308,Wt1,4.793,72.790,-0.232
CREB5,5.491,0.957,Creb5,4.764,0.209,0.227
PPAP2B,6.043,13.586,Ppap2b,4.695,14.510,0.411
RORA,2.162,1.412,Rora,4.671,1.040,-0.960
RYBP,1.893,22.236,Rybp,4.632,17.790,-1.072
CASZ1,1.215,2.761,Casz1,4.612,2.819,-1.407
ZMAT4,3.187,4.095,Zmat4,4.573,0.245,-0.497
ATP8A2,3.740,1.025,Atp8a2,4.563,0.352,-0.286
FOXL1,3.140,3.749,Foxl1,4.519,2.042,-0.498
SNX2,1.830,24.892,Snx2,4.514,33.270,-1.065
SLC2A12,0.694,0.644,Slc2a12,4.499,1.312,-1.670
AJAP1,1.231,0.781,Ajap1,4.485,15.880,-1.361
LPHN2,1.389,43.631,Lphn2,4.485,39.890,-1.278
CD83,2.588,29.186,Cd83,4.475,8.863,-0.710
EIF3M,1.199,109.920,Eif3m,4.440,138.400,-1.365
GDNF,2.351,13.554,Gdnf,4.426,24.520,-0.797
GMDS,5.191,15.362,Gmds,4.396,8.880,0.257
ZMIZ1,5.254,51.800,Zmiz1,4.382,51.500,0.281
ACAA2,0.994,29.439,Acaa2,4.352,41.640,-1.452
CNKSR3,4.181,30.890,Cnksr3,4.342,10.360,-0.055
DNAJC5B,0.000,0.164,Dnajc5b,4.342,0.039,-2.084
THAP1,0.000,2.949,Thap1,4.298,5.513,-2.073
NOS1,0.536,0.175,Nos1,4.284,0.621,-1.707
EYA4,3.156,1.534,Eya4,4.269,20.990,-0.409
PDGFC,2.761,64.055,Pdgfc,4.254,48.830,-0.564
PHACTR1,0.773,1.009,Phactr1,4.239,8.157,-1.548
