Otic enhancers,,,,,,Nearest gene associated to,,,,,RNA seq expression data,,,,,,,,,,,Significant TFBS identified by RSAT
Enhancer ID,Chr,Start,End,width,Strand details,Gene name,Ensembl gene id,Gene locus,location of enhancer to gene associated,Distrance to gene associated,NP_FPKM,aPPR_FPKM,pPPR_FPKM,NNE_FPKM,APD_FPKM,IPD_FPKM,ss56_OEDP_FPKM,ss89_otic_FPKM,ss12_otic_FPKM,ss3_whole embryo_FPKM,foldchange ss89/ss3,TFBS found
20675a,4,38403597,38404399,803,+,gga-mir-1627,ENSGALG00000025163,4:38434798-38434868,upstream,-31202,0,0,0,0,0,0,569.841,1752.49,552.063,333.135,5.260600057,"CHX10_vsx2_, Dlx5, Hoxa1, Hoxa2, Six4, Hoxa2, Hlxb9, Hoxa1, RBP-Jkappa, Gbx1, RFX, Six1_optimised, Pax7, RoRalpha, Gata3.2, FOXO3, REST, Lmx1b, CHX10_vsx2_, Bbx, Pbx, Lhx4, Gata3.2, Lmx1a, Lmx1a, PLZF, Ikaros"
20680a,4,38455965,38456991,1027,+,gga-mir-1627,ENSGALG00000025163,4:38434798-38434868,downstream,21166,0,0,0,0,0,0,569.841,1752.49,552.063,333.135,5.260600057,"FOXP1, Foxk1, Pitx1, SALL1, SALL1, Lmx1a, Lhx9, Dmbx1, Dmbx1, Hoxa2, Hoxa1, Lhx5, Otx2, Otx2, Alx4, PLAG1, Pitx2, WT1, Pax6.2, Sox3, Klf7, Alx4, Tax_CREB.1, Tax_CREB.2, Pax7, Hoxc9, Lmx1b, Prrx1, HIF1, HIF1, FOXO3, Prrx1, Sox6, RBP-Jkappa, PLAG1, Foxk1, RREB1, RREB1, Pax7, AhR, Lhx5, AP1.1, Six1, Pax-2, RBP-Jkappa, Lmx1a, Lhx9, Pax7, PLAG1, RFX, Pax7"
24736a,5,54319129,54320722,1594,+,SIX1,ENSGALG00000022994,5:54315396-54317576,downstream,3732,6.39259,48.2934,31.4546,18.0651,108.485,127.052,257.407,378.951,403.058,48.4098,7.827981111,"Six1_optimised, Ikaros, Pitx1, Max, Arnt, Six1_optimised, Tax_CREB.1, Tax_CREB.2, RXRA, PLAG1, Pax-2, RREB1, Max, Nr2f2, Nr2f2, TFAP2A, Tax_CREB.1, Tax_CREB.2, Otx2, Otx2, PLAG1, Pitx2, Rfx3, HIF1, HIF1, Bach2, STAT1, WT1, WT1, FOXO3, Pax6.1, RXRA, Sox3, RREB1, TFAP2A, HIF1, HIF1, REST, Klf7, WT1, EBF1, Hoxc9, STAT, Arnt, Nr2f2, Nr2f2, RBP-Jkappa, RBP-Jkappa, RREB1, RREB1, NFKB1, NFKB1, Mtf1, RREB1, Erg"
9662,18,5919124,5919835,712,-,MMD,ENSGALG00000003078,18:5919931-5933224,downstream,14100,86.6973,86.5247,89.6366,75.0466,105.837,97.5411,122.351,265.032,236.489,99.5092,2.663391928,"RREB1, Six1, Six1_optimised, Gata3.2, RXRA, Sox3, WT1, RoRalpha, SALL1, Klf7, Sox2"
26367,7,5624563,5624893,331,-,ARL4C,ENSGALG00000021021,7:5654087-5654666,downstream,30103,104.377,56.5362,81.4334,18.0949,43.3539,59.0319,131.954,231.792,246.558,99.8938,2.320384248,"RREB1, RREB1, RREB1, RREB1, RREB1, Six1_optimised, RREB1, Erg, RREB1, RoRalpha, FOXO3, RREB1, RXRA"
13773,2,120532917,120533278,362,-,HEY1,ENSGALG00000027364,2:120538763-120541690,downstream,8773,14.4954,10.1857,11.0456,4.12194,35.8834,102.824,102.323,189.675,146.584,32.468,5.841905877,"Tcfap2b, Tcfap2b, REST, Tcfap2b, Tcfap2b, EBF1, NFKB1, NFKB1, Tcfap2c, Tcfap2c, NR3C1, NFKB1, NFKB1, Six1, TFAP2A, Tcfap2c, Tcfap2c, Tcfap2e, Mrg1, Tcfap2e"
137.75,2,120546440,120548679,2240,-,HEY1,ENSGALG00000027364,2:120538763-120541690,upstream,-4750,14.4954,10.1857,11.0456,4.12194,35.8834,102.824,102.323,189.675,146.584,32.468,5.841905877,"FOXP1, RREB1, Six1_optimised, RREB1, RREB1, CHX10_vsx2_, Emx2, Pax7, FOXP1, Alx4, RREB1, Gbx2, Prrx1, Emx2, Hoxa1, RBP-Jkappa, FOXP1, Lmx1a, RREB1, RREB1, SALL1, Pou2f1, Pou2f1, Foxk1, Gbx1, Hlxb9, Hoxa2, Hlxb9, RREB1, Pax7, Max, Lhx9, Mrg1, Ikaros, Arnt, Lmx1a, AP1.2, Ikaros, HIF1, HIF1, ESR2, NR3C1, Foxk1, Bach2, AP1.1, Hoxa1, SALL1, RREB1, Lhx5, RREB1, Sox8, Bach2, Pax2, Tcfcp2l1, Ets, Prrx1, Alx4, WT1, Lmx1b, Pax2, AP1.1, Znf143, Pax6.2, Gbx1, RREB1, RREB1, RREB1, Mtf1, NR3C1, Lmx1a, Ikaros, PLAG1, Ehf, RREB1, Pax6.2, PLAG1, Klf7, HIF1, HIF1, Sox13, Sox6, RREB1, Gbx2, Sox2, STAT, Lhx4, FOXO3, AP1.2, WT1, Irf6, Irf6, RREB1, Arnt, Six4, RBP-Jkappa, RREB1, Lmx1b, Sox5, FOXO3, STAT, Dlx5, Sox3, Six1, Bbx, Lmx1a, Pax6.2, Foxk1, Sox8, AhR"
13776a,2,120556482,120556901,420,-,HEY1,ENSGALG00000027364,2:120538763-120541690,upstream,-14792,14.4954,10.1857,11.0456,4.12194,35.8834,102.824,102.323,189.675,146.584,32.468,5.841905877,"Pax-2, Osf2, Six1, TFAP2A, Six1_optimised, Sox2, CREB.2"
13782,2,120607596,120608115,520,-,HEY1,ENSGALG00000027364,2:120538763-120541690,upstream,-65906,14.4954,10.1857,11.0456,4.12194,35.8834,102.824,102.323,189.675,146.584,32.468,5.841905877,"Osf2, Six1, FOXO3, Hmx1, Sox6, Lhx9, Sox8, Alx4, Prrx1, Pax7, Gbx2, Hmx3"
14788a,20,6023026,6024603,1578,+,EYA2,ENSGALG00000004508,20:6012483-6104467,inside,10542,1.6314,30.9499,30.1197,5.17427,162.465,215.897,191.336,159.178,145.237,20.509,7.761373056,"Foxk1, NR3C1, Bach2, Irx2, Irx5, Irx2, Dlx5, WT1, FOXO3, Sox3, Irx4, Osf2, Irx5, Mtf1, RREB1, Six1_optimised, CREB.2, Irx4, Tcfcp2l1, Mafb, Pax7, RoRalpha, Six1, EBF, AP1.1, Hmx3, Mafb, STAT, Ets, Sox2, RUNX1"
